Sheet Name,Correct,Partial,Useful,Incorrect,,,,,,,
passport_labelling_file_2023-06-03__17_18,46,0,6,28,,,,,,,
node-house-scoring-system_labelling_file_2023-06-03__17_20,57,14,0,13,,,,,,,
shopping-app-mongodb_labelling_file_2023-06-03__17_33,85,0,0,6,,,,,,,
Bank-Management-System_labelling_file_2023-06-03__17_33,89,11,10,36,,,,,,,
AWSDevOpsTutorial_labelling_file_2023-06-03__17_34,172,0,10,63,,,,,,,
vulnerable-app-nodejs-express_labelling_file_2023-06-03__17_34,5,2,0,0,,,,,,,
trianglify_labelling_file_2023-06-03__17_35,44,0,4,8,,,,,,,
base_labelling_file_2023-06-03__17_35,41,0,2,8,,,,,,,
nosqlclient_labelling_file_2023-06-03__17_42,0,0,0,0,,,,,,,
mermaid_labelling_file_2023-06-03__17_50,0,0,0,0,,,,,,,
localForage_labelling_file_2023-06-03__17_52,0,0,0,0,,,,,,,
dtube_labelling_file_2023-06-03__18_27,0,0,0,0,,,,,,,
express-server_labelling_file_2023-06-03__18_29,11,1,0,4,,,,,,,
NodeGoat_labelling_file_2023-06-03__18_30,238,11,0,68,,,,,,,
vulnerable-node_labelling_file_2023-06-03__18_29,0,0,0,0,,,,,,,
mongo-express_labelling_file_2023-06-03__18_31,0,0,0,0,,,,,,,
horizon_labelling_file_2023-06-03__18_36,0,0,0,0,,,,,,,
TOTAL,788,39,32,234,1093,,,,,,
,72.09515096,3.568161025,2.927721866,21.40896615,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
User Defined,,,,,,Builtin,,,,,
Sheet Name,Correct,Partial,Useful,Incorrect,,Sheet Name,Correct,Partial,Useful,Incorrect,
passport_labelling_file_2023-06-03__17_18,5,0,6,19,,passport_labelling_file_2023-06-03__17_18,41,0,0,9,
node-house-scoring-system_labelling_file_2023-06-03__17_20,32,14,0,8,,node-house-scoring-system_labelling_file_2023-06-03__17_20,25,0,0,5,
shopping-app-mongodb_labelling_file_2023-06-03__17_33,52,0,0,1,,shopping-app-mongodb_labelling_file_2023-06-03__17_33,33,0,0,5,
Bank-Management-System_labelling_file_2023-06-03__17_33,17,11,10,2,,Bank-Management-System_labelling_file_2023-06-03__17_33,72,0,0,34,
AWSDevOpsTutorial_labelling_file_2023-06-03__17_34,25,0,1,9,,AWSDevOpsTutorial_labelling_file_2023-06-03__17_34,147,0,9,54,
vulnerable-app-nodejs-express_labelling_file_2023-06-03__17_34,5,2,0,0,,vulnerable-app-nodejs-express_labelling_file_2023-06-03__17_34,0,0,0,0,
trianglify_labelling_file_2023-06-03__17_35,3,0,4,3,,trianglify_labelling_file_2023-06-03__17_35,41,0,0,5,
base_labelling_file_2023-06-03__17_35,12,0,2,7,,base_labelling_file_2023-06-03__17_35,29,0,0,1,
nosqlclient_labelling_file_2023-06-03__17_42,0,0,0,0,,nosqlclient_labelling_file_2023-06-03__17_42,0,0,0,0,
mermaid_labelling_file_2023-06-03__17_50,0,0,0,0,,mermaid_labelling_file_2023-06-03__17_50,0,0,0,0,
localForage_labelling_file_2023-06-03__17_52,0,0,0,0,,localForage_labelling_file_2023-06-03__17_52,0,0,0,0,
dtube_labelling_file_2023-06-03__18_27,0,0,0,0,,dtube_labelling_file_2023-06-03__18_27,0,0,0,0,
express-server_labelling_file_2023-06-03__18_29,8,1,0,1,,express-server_labelling_file_2023-06-03__18_29,3,0,0,3,
NodeGoat_labelling_file_2023-06-03__18_30,79,11,0,24,,NodeGoat_labelling_file_2023-06-03__18_30,159,0,0,43,
vulnerable-node_labelling_file_2023-06-03__18_29,0,0,0,0,,vulnerable-node_labelling_file_2023-06-03__18_29,0,0,0,0,
mongo-express_labelling_file_2023-06-03__18_31,0,0,0,0,,mongo-express_labelling_file_2023-06-03__18_31,0,0,0,0,
horizon_labelling_file_2023-06-03__18_36,0,0,0,0,,horizon_labelling_file_2023-06-03__18_36,0,0,0,0,
TOTAL,238,39,23,74,374,TOTAL,550,0,9,159,718
,63.63636364,10.42780749,6.14973262,19.78609626,,,76.60167131,0,1.253481894,22.1448468,
,,,,,,,,,,,
"Performance (M1 MacBook Pro 2020, 16 GB RAM)",,,,,,,,,,,
Project,Predictions,Run 1 (sec),Run 2 (sec),Run 3 (sec),Avg. run (sec),Predictions/sec,,,,,
AWSDevOpsTutorial,346,38,38,38,38,9.105263158,,,,,
Bank-Management-System,181,21,21,21,21,8.619047619,,,,,
NodeGoat,298,33,33,33,33,9.03030303,,,,,
base,190,23,23,23,23,8.260869565,,,,,
dtube,3486,374,380,370,374.6666667,9.304270463,,,,,
passport,126,14,13,13,13.33333333,9.45,,,,,
express-server,18,2,2,2,2,9,,,,,
habitica,7799,940,956,948,948,8.226793249,,,,,
horizon,1232,153,152,151,152,8.105263158,,,,,
localForage,486,57,58,57,57.33333333,8.476744186,,,,,
mermaid,4252,452,454,451,452.3333333,9.400147384,,,,,
mongo-express,369,45,45,45,45,8.2,,,,,
node-house-scoring-system,80,12,11,11,11.33333333,7.058823529,,,,,
shopping-app-mongodb,132,17,17,17,17,7.764705882,,,,,
trianglify,107,11,11,11,11,9.727272727,,,,,
vulnerable-app-nodejs-express,10,1,1,1,1,10,,,,,
vulnerable-node,438,51,51,51,51,8.588235294,,,,,
,,,,,,,,,,,
,,,,,AVERAGE,8.724572897,,,,,