Project,NumNodes,Untyped,Typed,Inferred,TypeViolations,PercInferred,PercOfTypedNodes,PercTypedBeforeInference,PercTypedAfterInference
AWSDevOpsTutorial,6328,1376,4952,646,11,10.20859671,13.04523425,68.04677623,78.25537295
Bank-Management-System,3830,1318,2512,424,2,11.07049608,16.87898089,54.51697128,65.58746736
base,3901,1243,2658,132,25,3.383747757,4.966139955,64.75262753,68.13637529
dtube,75080,25451,49629,6503,0,8.66142781,13.10322594,57.44006393,66.10149174
express-server,1723,452,1271,55,1,3.19210679,4.327301338,70.57457922,73.76668601
habitica,180760,70435,110325,15136,0,8.373533968,13.71946522,52.66043372,61.03396769
horizon,21501,6039,15462,2679,1,12.45988559,17.32634847,59.4530487,71.91293428
localForage,8565,2177,6388,488,15,5.697606538,7.639323732,68.88499708,74.58260362
mermaid,69646,20383,49263,6764,9,9.711971973,13.73038589,61.02145134,70.73342331
mongo-express,8128,2502,5626,786,6,9.670275591,13.97084963,59.54724409,69.21751969
node-house-scoring-system,2810,812,1998,266,1,9.466192171,13.31331331,61.63701068,71.10320285
NodeGoat,5312,1519,3793,819,10,15.41792169,21.59240707,55.98644578,71.40436747
nosqlclient,63147,20495,42652,3910,296,6.191901436,9.16721373,61.35208323,67.54398467
passport,2922,517,2405,222,4,7.597535934,9.230769231,74.70910335,82.30663929
shopping-app-mongodb,3144,996,2148,275,3,8.746819338,12.80260708,59.57379135,68.32061069
trianglify,3495,707,2788,210,4,6.008583691,7.532281205,73.76251788,79.77110157
vulnerable-app-nodejs-express,200,107,93,29,0,14.5,31.1827957,32,46.5
vulnerable-node,10573,2458,8115,431,15,4.076421073,5.311152187,72.67568334,76.75210442
,,,,,Averages,8.579723563,12.71332193,61.5886016,70.16832516